Link,Name,Mileage,Engine Capacity,Year of manufacture,Fuel type,Price
https://gratka.pl/motoryzacja/jaguar-e-pace-4x4-200km-r-dynamic-s-automat-salonpl-fv23-kamera-led-skora-gwaranc/ob/30672829,Jaguar E-Pace 4x4 200KM R-Dynamic S Automat SalonPL FV23% Kamera LED Skóra Gwaranc,73000,1997 cm3,2019,benzyna,137 900zł
https://gratka.pl/motoryzacja/renault-clio-v-salonpl-fv23-90km-serwis-aso-oryginal-lakier-led-tempomat-gwarancja/ob/30665297,Renault Clio V SalonPL FV23% 90KM Serwis ASO Oryginał Lakier LED Tempomat Gwarancja,134000,898 cm3,2019,benzyna,37 900zł
https://gratka.pl/motoryzacja/skoda-superb-iii-fv23-salonpl-gwarancja-1-5tsi-150km-front-assist-tempomat/ob/30651047,Skoda Superb III FV23% SalonPL Gwarancja 1.5TSI 150KM Front Assist Tempomat,151000,1498 cm3,2019,benzyna,69 900zł
https://gratka.pl/motoryzacja/suzuki-vitara-ii-premium-1-4-boosterjet-6at-129km-kamera-cofania-klimatyzacja-aut/ob/21364001,Suzuki Vitara II Premium 1.4 Boosterjet 6AT 129KM | Kamera cofania + Klimatyzacja aut,1,1373 cm3,2021,technologia hybrydowa,92 000zł
https://gratka.pl/motoryzacja/peugeot-3008-crossway-2-0-bluehdi-180km-eat8-crossway-akt-tempomat-panorama-opc/ob/15612528,Peugeot 3008 CROSSWAY 2.0 BlueHDI 180KM EAT8 'CROSSWAY'+Akt.Tempomat+Panorama+Opc,10,1997 cm3,2019,diesel,147 850zł
https://gratka.pl/motoryzacja/renault-scenic-iii/ob/30553509,Renault Scenic III,72800,1200 cm3,2016,benzyna,38 900zł
https://gratka.pl/motoryzacja/volkswagen-passat-b6-automacik/ob/30538393,Volkswagen Passat B6 Automacik,237000,1968 cm3,2006,diesel,14 990zł
https://gratka.pl/motoryzacja/chevrolet-aveo-ii-t300-jak-nowy/ob/30477253,Chevrolet Aveo II (T300) Jak nowy,108800,1229 cm3,2014,benzyna,18 900zł
https://gratka.pl/motoryzacja/mazda-2-iii-sport-atstyle-gratis-aluminiowe-felgi/ob/30443699,Mazda 2 III Sport @Style Gratis ALUMINIOWE Felgi,234000,1498 cm3,2008,benzyna,13 400zł
https://gratka.pl/motoryzacja/skoda-fabia-ii/ob/30443215,Skoda Fabia II,153625,1200 cm3,2009,benzyna,14 400zł
https://gratka.pl/motoryzacja/ford-focus-iii-titanum/ob/30322733,Ford Focus III Titanum,197474,999 cm3,2018,benzyna,41 999zł
https://gratka.pl/motoryzacja/toyota-avensis-iii/ob/30314079,Toyota Avensis III,198000,1998 cm3,2015,diesel,42 900zł
https://gratka.pl/motoryzacja/citroen-c3-i-sliczny/ob/30312619,Citroen C3 I Śliczny,197000,1360 cm3,2003,benzyna,6 900zł
https://gratka.pl/motoryzacja/mercedes-benz-klasa-b-w245-b-klasa-niezawodna-jednostka/ob/30311519,Mercedes-Benz Klasa B W245 B klasa niezawodna jednostka,214000,2000 cm3,2007,diesel,16 900zł
https://gratka.pl/motoryzacja/opel-astra-j/ob/30298917,Opel Astra J,198000,1400 cm3,2011,benzyna,25 900zł
https://gratka.pl/motoryzacja/seat-leon-iii-ekonomiczny-egzemplarz/ob/30221309,SEAT Leon III Ekonomiczny egzemplarz,213000,140 cm3,2015,cng,38 900zł
https://gratka.pl/motoryzacja/hyundai-i20-ii-1-2-bluedrive-classic/ob/30183993,Hyundai i20 II 1.2 BlueDrive Classic +,155000,1250 cm3,2015,benzyna,39 300zł
https://gratka.pl/motoryzacja/mercedes-benz-klasa-a-w168-a-140-avantgarde-atoplacony-at/ob/30165009,Mercedes-Benz Klasa A W168 A 140 Avantgarde @OPŁACONY @,191200,1400 cm3,1999,benzyna,5 700zł
https://gratka.pl/motoryzacja/hyundai-tucson-iii-wyjatkowa-wersja/ob/29826819,Hyundai Tucson III Wyjątkowa Wersja,157000,1500 cm3,2015,benzyna,66 999zł
https://gratka.pl/motoryzacja/kia-stonic-sliczny/ob/27598507,Kia Stonic Śliczny,183630,1560 cm3,2018,diesel,58 933zł
https://gratka.pl/motoryzacja/peugeot-2008/ob/27071505,Peugeot 2008,166800,1560 cm3,2016,diesel,39 900zł
https://gratka.pl/motoryzacja/volkswagen-golf-v-v-2-0-fsi-sportline/ob/26563357,Volkswagen Golf V V 2.0 FSI Sportline,188000,1998 cm3,2004,benzyna,11 600zł
https://gratka.pl/motoryzacja/ford-kuga-1-wlasciciel-serwis-aso-187-km-automat-skora-navi/ob/30672445,"Ford Kuga , 1. Właściciel, Serwis ASO, 187 KM, Automat, Skóra, Navi,",6699,1995 cm3,2022,diesel,156 500zł
https://gratka.pl/motoryzacja/ford-focus-iii-salon-polska-serwis-aso-klima/ob/30671883,"Ford Focus III , Salon Polska, Serwis ASO, Klima",175634,1560 cm3,2015,diesel,35 999zł
https://gratka.pl/motoryzacja/opel-astra-j-salon-polska-serwis-aso-skora-navi-klimatronic/ob/30671857,"Opel Astra J , Salon Polska, Serwis ASO, Skóra, Navi, Klimatronic,",70864,1598 cm3,2018,benzyna,67 999zł
https://gratka.pl/motoryzacja/jeep-grand-cherokee-gr-3-0-crd-overland-summit-eu6/oi/30396085,Jeep Grand Cherokee Gr 3.0 CRD Overland Summit EU6,210000,2987 cm3,2015,diesel,123 000zł
https://gratka.pl/motoryzacja/jeep-grand-cherokee-3-0-crd-overland-summit/oi/30395403,Jeep Grand Cherokee 3.0 CRD OVERLAND SUMMIT,219000,2987 cm3,2015,diesel,123 000zł
https://gratka.pl/motoryzacja/seat-arona-rabat-4-3-700-zl-wyprzedaz-rocznika-2022/ob/28990613,SEAT Arona rabat: 4% (3 700 zł) Wyprzedaż rocznika 2022,10,999 cm3,NaN,benzyna,99 900zł
https://gratka.pl/motoryzacja/seat-arona-fr-1-0-tsi-110km-6-biegowa-manualna/ob/28990609,SEAT Arona FR 1.0 TSI 110KM 6-biegowa manualna,10,999 cm3,NaN,benzyna,108 200zł
https://gratka.pl/motoryzacja/toyota-yaris-iii-1-5-selection-style-selection-style-1-5-125km-6m-t-do-produkcji-fel/ob/27427459,Toyota Yaris III 1.5 Selection Style Selection Style 1.5 125KM 6M/T Do Produkcji! Fel,NaN,1496 cm3,2022,benzyna,88 900zł
https://gratka.pl/motoryzacja/dacia-duster-i-salon-polska-serwis-aso-klima-tempomat-parktronic/ob/30671825,"Dacia Duster I , Salon Polska, Serwis ASO, Klima, Tempomat, Parktronic",27151,999 cm3,2019,benzyna,59 999zł
https://gratka.pl/motoryzacja/skoda-superb-iii-1-wlasciciel-serwis-aso-automat-skora-navi/ob/30672429,"Skoda Superb III , 1. Właściciel, Serwis ASO, Automat, Skóra, Navi,",56149,1395 cm3,2020,benzyna,159 000zł
https://gratka.pl/motoryzacja/citroen-c4-grand-picasso-ii-7-miejsc-skora-navi-klimatronic-tempomat-parktronic/ob/30671885,"Citroen C4 Grand Picasso II , 7 miejsc, Skóra, Navi, Klimatronic, Tempomat, Parktronic,",164914,1560 cm3,2013,diesel,39 999zł
https://gratka.pl/motoryzacja/mazda-6-iii-salon-polska-1-wlasciciel-serwis-aso-vat-23-navi/ob/30671841,"Mazda 6 III , Salon Polska, 1. Właściciel, Serwis ASO, VAT 23%, Navi,",226931,1998 cm3,2017,benzyna,55 999zł
https://gratka.pl/motoryzacja/citroen-c4-1-2-puretech-130-shine-s-s-jak-nowy-2022-niski-przebieg/oi/30640739,CITROEN C4 1.2 PURETECH 130 SHINE S&S  Jak Nowy 2022 niski przebieg,1950,1199 cm3,2022,benzyna,99 900zł
https://gratka.pl/motoryzacja/seat-leon-iii-1-5-tsi-fr-fr-1-5-tsi-130km-mt/ob/30720509,SEAT Leon III 1.5 TSI FR FR 1.5 TSI 130KM MT,NaN,1498 cm3,2022,benzyna,119 900zł
https://gratka.pl/motoryzacja/seat-leon-iii-1-5-tsi-fr-fr-1-5-tsi-130km-mt/ob/30720387,SEAT Leon III 1.5 TSI FR FR 1.5 TSI 130KM MT,NaN,1498 cm3,2022,benzyna,119 900zł
https://gratka.pl/motoryzacja/seat-leon-iii-1-0-tsi-reference-reference-1-0-tsi-90km-mt/ob/30720361,SEAT Leon III 1.0 TSI Reference Reference 1.0 TSI 90KM MT,NaN,999 cm3,2022,benzyna,93 780zł
https://gratka.pl/motoryzacja/seat-arona-style-style-1-0-tsi-110km-6mt/ob/30720349,SEAT Arona Style Style 1.0 TSI 110KM 6MT,NaN,999 cm3,2022,benzyna,92 878zł
